Paper,Authors,Year of publication,Year of announcement,Venue,Awarded By
"A Scalable, Commodity Data Center Network Architecture","Mohammad Al-Fares, Alexander Loukissas, and Amin Vahdat.",2008,2018,SIGCOMM,SIGCOMM
XORs in the air: practical wireless network coding,"Sachin Katti, Hariharan Rahul, Wenjun Hu, Dina Katabi, Muriel Médard, and Jon Crowcroft",2006,2018,SIGCOMM,SIGCOMM
Ethane: Taking control of the Enterprise,"Martin Casado, Michael J. Freedman, Justin Pettit, Jianying Luo, Nick McKeown, Scott Shenker",2007,2017,SIGCOMM,SIGCOMM
Measurement and analysis of online social networks,"Alan Mislove, Massimiliano Marcon, Krishna P. Gummadi, Peter Druschel, Bobby Bhattacharjee",2007,2017,IMC,SIGCOMM
Link-level measurements from an 802.11b mesh network,"Daniel Aguayo, John Bicket, Sanjit Biswas, Glenn Judd, Robert Morris",2004,2016,SIGCOMM,SIGCOMM
A first-principles approach to understanding the Internet's router-level topology,"Lun Li, David Alderson, Walter Willinger, John Doyle",2004,2016,SIGCOMM,SIGCOMM
A clean slate 4D approach to network control and management.,"Albert Greenberg, Gisli Hjalmtysson, David A. Maltz, Andy Myers, Jennifer Rexford, Geoffrey Xie, Hong Yan, Jibin Zhan, and Hui Zhang",2005,2015,CCR,SIGCOMM
Sizing router buffers,"Guido Appenzeller, Isaac Keslassy, and Nick McKeown",2004,2015,SIGCOMM,SIGCOMM
Congestion Control for High Bandwidth-Delay Product Networks,"Dina Katabi, Mark Handley, and Charlie Rohrs",2002,2014,SIGCOMM,SIGCOMM
Measuring ISP Topologies with Rocketfuel,"Neil Spring, Ratul Mahajan, and David Wetherall",2002,2014,SIGCOMM,SIGCOMM
PlanetLab: an overlay testbed for broad-coverage services,"Brent Chun, David Culler, Timothy Roscoe, Andy Bavier, Larry Peterson, Mike Wawrzoniak and Mic Bowman",2003,2013,CCR,SIGCOMM
A delay-tolerant network architecture for challenged internets,Kevin Fall,2003,2013,SIGCOMM,SIGCOMM
Tussle in cyberspace: defining tomorrow's internet,"David Clark, Karen Sollins, John Wroclawski and Bob Braden",2002,2012,ACM SIGCOMM,SIGCOMM
Chord: A Scalable Peer-to-peer Lookup Service for Internet Applications,"Ion Stoica, Robert Morris, David Karger, M. Frans Kaashoek, Hari Balakrishnan",2001,2011,ACM SIGCOMM,SIGCOMM
A Scalable Content-addressable Network,"Sylvia Ratnasamy, Paul Francis, Mark Handley, Richard Karp, Scott Shenker",2001,2011,ACM SIGCOMM,SIGCOMM
An analysis of BGP convergence properties,Tim Griffin and Gordon Wilfong,1999,2010,SIGCOMM,SIGCOMM
On Power-Law Relationships of the Internet Topology,"Michalis Faloutsos, Petros Faloutsos, and Christos Faloutsos",1999,2010,SIGCOMM,SIGCOMM
